timestamp;c;h;l;o
2020-06-09T05:00:00Z;243.482063665;243.653582;243.04569475;243.04569475
2020-06-09T06:00:00Z;243.652534339;243.855988164;243.301854429;243.511176065
2020-06-09T07:00:00Z;244.320736684;244.384091639;243.778083225;243.778083225
2020-06-09T08:00:00Z;243.69037366;244.39525336;243.530097816;244.39525336
2020-06-09T09:00:00Z;242.99703569;243.821975548;242.964987132;243.770337433
2020-06-09T10:00:00Z;242.386783428;243.338869656;242.386783428;242.993001171
2020-06-09T11:00:00Z;242.934696417;242.934696417;242.436604291;242.442458117
2020-06-09T12:00:00Z;243.759596255;244.266618005;243.358867635;243.358867635
2020-06-09T13:00:00Z;243.896492815;243.9393995;243.479124389;243.9393995
2020-06-09T14:00:00Z;243.561468982;243.955593531;243.561468982;243.955593531
2020-06-09T15:00:00Z;243.684264008;243.866423874;243.419919858;243.4659503
2020-06-09T16:00:00Z;243.339495662;243.730572205;243.199428072;243.634880888
2020-06-09T17:00:00Z;243.53490123;243.540986594;243.288110418;243.288110418
2020-06-09T18:00:00Z;243.912061193;244.046280076;243.664202613;243.664202613
2020-06-09T19:00:00Z;242.885810681;243.768688522;242.658989968;243.762647407
2020-06-09T20:00:00Z;243.642123776;243.642123776;242.91042436;243.380864301
2020-06-09T21:00:00Z;244.605125956;244.880752137;243.787537362;243.787537362
2020-06-09T22:00:00Z;245.47920054;245.580222055;244.522822562;244.854543616
2020-06-09T23:00:00Z;244.762832643;245.451516789;244.762832643;245.380703588
2020-06-10T00:00:00Z;244.361568262;244.890972049;244.341411486;244.890972049
2020-06-10T01:00:00Z;245.160029785;245.197451817;244.297041084;244.297041084
2020-06-10T02:00:00Z;244.714544625;245.434764084;244.568446104;245.383838988
2020-06-10T03:00:00Z;244.702731223;244.759191342;244.549735016;244.759191342
2020-06-10T04:00:00Z;244.05213821;244.844513339;243.96973361;244.781616095
2020-06-10T05:00:00Z;244.965857863;245.318070461;244.087804879;244.184454522
2020-06-10T06:00:00Z;244.919563817;245.12292649;244.809653346;244.881400605
2020-06-10T07:00:00Z;245.196183201;245.393542632;244.950668779;244.995030576
2020-06-10T08:00:00Z;244.544661182;245.122203978;244.302138172;245.078588138
2020-06-10T09:00:00Z;244.388534932;244.438268685;244.009761915;244.297850114
2020-06-10T10:00:00Z;244.328874711;244.492947207;244.152488777;244.261218787
2020-06-10T11:00:00Z;244.044221648;244.474324913;244.044221648;244.22913499
2020-06-10T12:00:00Z;244.098611537;244.333037167;243.964367731;243.964367731
